publication	study	subject	item	voicing	usable	vowel_dur	comment
Roettger_etal_2014	1	14	quob	voiced	usable	175.204535	NO RELEASE; PF-RELEASE
Roettger_etal_2014	1	14	jied	voiced	not_usable	191.536099	VQ
Roettger_etal_2014	1	14	stauk	voiceless	usable	242.100585	
Roettger_etal_2014	1	14	gaut	voiceless	usable	232.224657	
Roettger_etal_2014	1	14	schug	voiced	usable	157.538287	
Roettger_etal_2014	1	14	prug	voiced	not_usable	197.00428	VQ? o or u
Roettger_etal_2014	1	14	quat	voiceless	usable	274.521695	
Roettger_etal_2014	1	14	mup	voiceless	usable	111.547484	
Roettger_etal_2014	1	14	frup	voiceless	usable	154.951996	
Roettger_etal_2014	1	14	blod	voiced	usable	229.469302	
Roettger_etal_2014	1	14	frog	voiced	usable	220.74891	
Roettger_etal_2014	1	14	gak	voiceless	usable	279.247999	
Roettger_etal_2014	1	14	drud	voiced	usable	189.377937	
Roettger_etal_2014	1	14	wiep	voiceless	usable	149.838789	
Roettger_etal_2014	1	14	gop	voiceless	usable	201.863246	
Roettger_etal_2014	1	14	schrieg	voiced	usable	179.755811	
Roettger_etal_2014	1	14	klab	voiced	usable	291.797928	
Roettger_etal_2014	1	14	griet	voiceless	usable	153.252379	
Roettger_etal_2014	1	14	nauk	voiceless	usable	253.952053	
Roettger_etal_2014	1	14	schmaub	voiced	usable	215.572291	
Roettger_etal_2014	1	14	frat	voiceless	usable	283.050546	
Roettger_etal_2014	1	14	flap	voiceless	usable	244.362042	
Roettger_etal_2014	1	14	quop	voiceless	usable	206.159448	
Roettger_etal_2014	1	14	staug	voiced	usable	252.819315	
Roettger_etal_2014	1	14	schuk	voiceless	usable	151.363905	
Roettger_etal_2014	1	14	mub	voiced	not_usable	182.019705	VQ o
Roettger_etal_2014	1	14	prieg	voiced	not_usable	197.837253	VQ e
Roettger_etal_2014	1	14	frub	voiced	usable	200.72192	
Roettger_etal_2014	1	14	gaud	voiced	usable	261.110527	
Roettger_etal_2014	1	14	quad	voiced	usable	306.015581	
Roettger_etal_2014	1	14	rok	voiceless	usable	229.866032	
Roettger_etal_2014	1	14	jiet	voiceless	not_usable	105.135083	VQ e
Roettger_etal_2014	1	14	pruk	voiceless	usable	145.993554	
Roettger_etal_2014	1	14	blot	voiceless	usable	213.781734	
Roettger_etal_2014	1	14	frad	voiced	usable	262.397521	
